All Java MIDI Instruments,,,All Usable Java MIDI Instruments,
404,Krelltone
278,Lead Synth 2
349,LoBell
395,LoBell
175,Long Guiro
173,Long Whistle
169,Low Agogo
162,Low Bongo
165,Low Conga
136,Low Kick
148,Low Mid Tom
167,Low Timbale
178,Low Wood Block
228,Lowrider
291,Luminous Voice
264,Lyrical Flute
259,Lyrical Oboe
255,Lyrical Sax
171,Maracas
12,Marimba
265,Mello Breath
249,Mellow Trombone
117,Melodic Tom
311,Metal Chirp
93,Metal Pad
313,Metal Spray
135,Metronome Bell
134,Metronome Click
273,Moon Jelly
240,Moving Strings
10,Music Box
345,mutant cowbell
391,mutant cowbell
179,Mute Cuica
216,Mute Guitar 2
163,Mute High Conga
187,Mute Surdo
28,Muted Guitar
59,Muted Trumpet
250,Muted Trumpet 2
321,nine_inch_kick
367,nine_inch_kick
339,noise echo
385,noise echo
24,Nylon Str Guitar
229,OB Bass
230,OB Bass 2
68,Oboe
79,Ocarina
194,Octopus Piano
198,Ondioline
180,Open Cuica
164,Open High Conga
147,Open Hi-Hat
188,Open Surdo
182,Open Triangle
55,Orchestra Hit
46,Orchestral Harp
29,Overdrive Guitar
75,Pan Flute
145,Pedal Hi-Hat
17,Perc Organ
204,Percolator
206,Percussive Piano
266,Peruvian
0,Piano
72,Piccolo
34,Picked Bass
335,ping drum
381,ping drum
45,Pizzicato Strings
312,Poing
90,Polysynth
281,Polysynth 2
310,Pop Click
244,Pulsing Voices
74,Recorder
20,Reed Organ
192,Reflection Piano
286,Refractions
205,Reverse Bell
119,Reverse Cymbal
353,reverse cymbal
399,reverse cymbal
341,rez_hat
387,rez_hat
274,Ricochet Pad
154,Ride Bell
152,Ride Cymbal 1
160,Ride Cymbal 2
138,Rimclik
232,Robot Threat
18,Rock Organ
275,Rock Radiation
207,Rot. Speaker Organ 1
325,rvs cymb pan long
371,rvs cymb pan long
326,rvs cymb pan med
372,rvs cymb pan med
327,rvs cymb pan shrt
373,rvs cymb pan shrt
317,SampHold
318,SampHold 2
211,Sawteeth
103,Sci Fi
323,ScienceTom
369,ScienceTom
131,Scratch Pull
130,Scratch Push
122,Seashore
239,sfz Strings
183,Shaker
77,Shakuhachi
106,Shamisen
111,Shanai
174,Short Guiro
172,Short Whistle
359,sine_kick
405,sine_kick
357,sineblock
403,sineblock
350,sinechirp
396,sinechirp
356,sinehit
402,sinehit
104,Sitar
129,Slap
36,Slap Bass 1
37,Slap Bass 2
330,SloLaser
376,SloLaser
243,Slow Choir Aahs
257,Slow Sax
49,Slow Strings
242,Slow Synth Strings
280,Slow Warm Pad
262,Smooth Clarinet
260,Soft Lead Synth
203,Soft Marimba
191,Soft Piano
276,Solo Vox 2
355,sonarblip
401,sonarblip
285,Soprano
64,Soprano Sax
97,Soundtrack
288,Soundtrack 2
91,Space Vox
156,Splash Cymbal
133,Square Click
214,Squeeze Box
261,Staccato Bassoon
258,Staccato Sax
114,Steel Drums
25,Steel String Guitar
132,Sticks
270,Strobes
95,Sweep Pad
200,Swirly Bell
38,Syn Bass 1
39,Syn Bass 2
62,Syn Brass 1
63,Syn Brass 2
253,Syn Brass 3
254,Syn Brass 4
87,Syn Brass and Lead
82,Syn Calliope
84,Syn Charang
83,Syn Chiff
54,Syn Choir
118,Syn Drum
86,Syn Fifths Saw
81,Syn Saw Wave
80,Syn Square Wave
85,Syn Voice
227,Synth Slap Bass
50,Synth Strings 1
51,Synth Strings 2
231,Synth Violin
320,tablaesque_hi
366,tablaesque_hi
319,tablaesque_lo
365,tablaesque_lo
354,tablaesque_slap
400,tablaesque_slap
116,Taiko Drum
155,Tambourine
23,Tango Accordion
124,Telephone
271,Teletronic
304,Teletype
346,Temple Bell
392,Temple Bell
66,Tenor Sax
308,Thru Phone Chirp
348,Thuddy Kick
394,Thuddy Kick
293,Tick Blok
47,Timpani
112,Tinkle Bell
144,Tom Hi
146,Tom Hi
142,Tom Low
196,Tremolo Electric Piano
218,Tremolo Guitar
44,Tremolo Strings
235,Trill Strings
57,Trombone
56,Trumpet
58,Tuba
14,Tubular Bell
238,Tuned Drum
306,Typewriter Key
331,ufo-by
377,ufo-by
284,UFOs
237,VibHarp
11,Vibraphone
202,Vibraphone 2
159,Vibraslap
296,Video Game 1
297,Video Game 2
41,Viola
40,Violin
53,Voice Oohs
89,Warm Pad
283,Watery Glass
333,weird snare
379,weird snare
309,Whipped
78,Whistle
115,Woodblock
352,woodblock
398,woodblock
328,woodstick
374,woodstick
13,Xylophone
